"";BBK01.SU0202;BBK01.SU0202_FLAGS
"";Zinssatz der EZB für Hauptrefinanzierungsgeschäfte / Stand am Monatsende;
BBK_DECIMALS;2;
BBK_GRAPHPOS;E;
Dimension;Eins;
Einheit;% p.a.;
TIME_FORMAT;P1M;
Stand vom;02.11.2022 09:22:44 Uhr;
"";Bemerkung zu 2008-10: Mindestbietungssatz / Festsatz ab 15. Okt. 2008 3,75 % (Telekonferenzen des EZB-Rates vom 8. Okt. 2008);
"";Bemerkung zu 2008-11: Mindestbietungssatz / Festsatz ab 12. Nov. 2008 3,25 % (Beschluss des EZB-Rates vom 6. Nov. 2008);
"";Bemerkung zu 2008-12: Festsatz ab 10. Dez. 2008 2,50 % (Beschluss des EZB-Rates vom 4. Dez. 2008);
"";Bemerkung zu 2009-01: Festsatz ab 21. Jan. 2009 2,00 % (Beschluss des EZB-Rates vom 15. Jan. 2009);
"";Bemerkung zu 2009-03: Festsatz ab 11. März 2009 1,50 % (Beschluss des EZB-Rates vom 5. März 2009);
"";Bemerkung zu 2009-04: Festsatz ab 8. April 2009 1,25 % (Beschluss des EZB-Rates vom 2. April 2009);
"";Bemerkung zu 2009-05: Festsatz ab 13. Mai 2009 1,00 % (Beschluss des EZB-Rates vom 7. Mai 2009);
"";Bemerkung zu 2011-04: Festsatz ab 13. April 2011 1,25 % (Beschluss des EZB-Rates vom 7. April 2011);
"";Bemerkung zu 2011-07: Festsatz ab 13. Juli 2011 1,50 % (Beschluss des EZB-Rates vom 7. Juli 2011);
"";Bemerkung zu 2011-11: Festsatz ab 9. Nov. 2011 1,25 % (Beschluss des EZB-Rates vom 3. Nov. 2011);
"";Bemerkung zu 2011-12: Festsatz ab 14. Dez. 2011 1,00 % (Beschluss des EZB-Rates vom 8. Dez. 2011);
"";Bemerkung zu 2012-07: Festsatz ab 11. Juli 2012 0,75 % (Beschluss des EZB-Rates vom 5. Juli 2012);
"";Bemerkung zu 2013-05: Festsatz ab 8. Mai 2013 0,50 % (Beschluss des EZB-Rates vom 2. Mai 2013);
"";Bemerkung zu 2013-11: Festsatz ab 13. Nov. 2013 0,25 % (Beschluss des EZB-Rates vom 7. Nov. 2013);
"";Bemerkung zu 2014-06: Festsatz ab 11. Juni 2014 0,15 % (Beschluss des EZB-Rates vom 5. Juni 2014);
"";Bemerkung zu 2014-09: Festsatz ab 10. Sept. 2014 0,05 % (Beschluss des EZB-Rates vom 4. Sept. 2014);
"";Bemerkung zu 2016-03: Festsatz ab 16. März. 2016 0,00 % (Beschluss des EZB-Rates vom 10. März 2016);
"";Bemerkung zu 2022-07: Festsatz ab 27. Juli. 2022 0,50 % (Beschluss des EZB-Rates vom 21. Juli 2022);
"";Bemerkung zu 2022-09: Festsatz ab 14. September 2022 1,25 % (Beschluss des EZB-Rates vom 8. September 2022);
